Main Activity,Sub-Activity,Hazard,Initial_L,Initial_S,Initial_Risk,Control_Measures,Residual_L,Residual_S,Residual_Risk
Demolition,Equipment use,Noise exposure from demolition equipment,4,3,12,Provide hearing protection,2,2,4
Confined Space,Tank cleaning,Exposure to toxic vapors during cleaning process,3,5,15,Ventilate and monitor gas levels; Provide respiratory mask and ensure ventilation,1,5,5
Confined Space,Sewer entry,Oxygen deficiency causing asphyxiation risk,3,5,15,Continuous gas monitoring,1,5,5
Confined Space,Inspection work,Limited access delaying emergency rescue,3,5,15,Provide rescue plan and standby team,1,5,5
Confined Space,Maintenance work,Heat stress due to poor air circulation,3,4,12,Provide ventilation and rest breaks,2,3,6
Confined Space,Entry work,Slip hazard due to wet confined surfaces,3,3,9,Ensure proper footing and housekeeping; Provide respiratory mask and ensure ventilation,2,2,4
Chemical Handling,Painting,Skin irritation from prolonged paint exposure,3,2,6,Use gloves and protective clothing,2,2,4
Chemical Handling,Solvent cleaning,Fire hazard due to flammable vapors,3,5,15,Store chemicals properly,1,5,5
Chemical Handling,Chemical mixing,Toxic fumes released during incorrect mixing,3,5,15,Follow SDS guidelines strictly; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Storage,Chemical leakage causing exposure risk,3,4,12,Use proper containers and labeling; Wear chemical resistant gloves and protective apron,2,3,6
Chemical Handling,Application work,Inhalation of airborne chemicals in enclosed space,3,4,12,Use respirator and ventilation,2,3,6
Piling Works,Bored piling,Collapse of borehole due to unstable soil conditions,3,5,15,Install casing and monitor soil,2,5,10
Piling Works,Pile driving,Exposure to excessive noise from piling equipment,4,3,12,Use hearing protection,2,2,4
Piling Works,Equipment setup,Instability of piling rig on uneven ground,3,5,15,Level ground before setup,2,5,10
Piling Works,Drilling,Contact with underground obstruction causing equipment damage,3,4,12,Conduct pre-drilling survey,2,3,6
Piling Works,Operation,Worker struck by moving piling equipment,4,5,20,Establish safety zones,2,5,10
Site Preparation,Land clearing,Worker struck by moving machinery due to blind spots,4,5,20,Use spotter and signals,2,5,10
Site Preparation,Grading,Vehicle skidding on loose soil surface,3,4,12,Compact ground and control speed,2,3,6
Site Preparation,Debris removal,Injury from sharp debris during cleanup,3,3,9,Use gloves and PPE,2,2,4
Site Preparation,Temporary access,Trip hazard from uneven temporary pathways,3,2,6,Level surfaces and maintain paths,2,2,4
Site Preparation,General work,Dust inhalation due to dry site conditions,3,3,9,Apply water suppression; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold modification,Fall during alteration of scaffold without proper edge protection,4,5,20,Install temporary guardrails and use harness,2,5,10
Work at Height,Roof repair,Fall while stepping on fragile roofing sheet,4,5,20,Provide crawl boards and warning signs,2,5,10
Work at Height,Edge work,Worker slips near open edge due to debris accumulation,3,5,15,Maintain housekeeping and install barriers; Use safety harness and lanyard at all times,2,5,10
Work at Height,Platform work,Fall due to sudden movement while handling materials at height,3,5,15,Use fall arrest system and secure materials,2,5,10
Work at Height,Ladder work,Loss of footing due to unstable ladder base,3,4,12,Secure ladder and inspect before use; Use safety harness and lanyard at all times,2,3,6
Electrical Works,Installation,Shock from contact with concealed wiring during drilling,3,5,15,Use cable detection tools; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Cable routing,Overheating cables due to improper bundling,3,4,12,Ensure proper spacing and ventilation,2,3,6
Electrical Works,Maintenance,Electric shock from using damaged tools,3,5,15,Inspect tools before use; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash caused by loose electrical connections,3,5,15,Tighten connections and inspect panels; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Temporary setup,Fire due to overloaded temporary distribution board,3,4,12,Use correct load rating and circuit protection; Obtain hot work permit and station fire extinguisher,2,3,6
Excavation,Trenching,Collapse due to excavation near heavy equipment movement,4,5,20,Install support systems and restrict loads,2,5,10
Excavation,Excavation work,Fall into open excavation due to lack of barricade,3,4,12,Install guardrails and warning signs; Use safety harness and lanyard at all times,2,3,6
Excavation,Deep excavation,Wall failure due to prolonged exposure without support,4,5,20,Provide continuous support system,2,5,10
Excavation,Utility work,Damage to underground services causing hazardous exposure,3,5,15,Conduct utility mapping,1,5,5
Excavation,Backfilling,Worker struck by reversing equipment,4,5,20,Use spotter and alarms,2,5,10
Lifting Operations,Crane lifting,Load drop due to improper hook engagement,4,5,20,Ensure proper hook locking mechanism,2,5,10
Lifting Operations,Crane operation,Collision due to operator blind spots,3,5,15,Use cameras and signalman,2,5,10
Lifting Operations,Rigging,Failure of sling due to wear and tear,3,5,15,Inspect and replace damaged slings,2,5,10
Lifting Operations,Material lifting,Load striking nearby structure during lifting,3,4,12,Maintain clearance and control movement,2,3,6
Lifting Operations,Mobile crane,Instability due to improper outrigger deployment,3,5,15,Fully extend outriggers and level ground,2,5,10
Concrete Works,Concrete pouring,Formwork failure due to inadequate support spacing,4,5,20,Follow design specifications,2,5,10
Concrete Works,Rebar work,Trips caused by protruding reinforcement bars,3,3,9,Install rebar caps and maintain access,2,2,4
Concrete Works,Formwork removal,Fall from height during dismantling process,4,5,20,Use proper access and fall protection; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Surface work,Slip due to spilled concrete on walking path,3,2,6,Clean spills immediately,2,2,4
Concrete Works,Mixing operation,Exposure to airborne cement dust,3,3,9,Use masks and ventilation,2,2,4
Welding Works,Arc welding,Eye injury due to exposure to arc light,3,3,9,Wear approved welding helmet,1,2,2
Welding Works,Hot work,Fire risk from sparks contacting combustible materials,3,5,15,Clear area and use fire watch,1,5,5
Welding Works,Gas cutting,Gas cylinder leak causing fire hazard,3,5,15,Check regulators and connections; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Sparks causing burns to nearby workers,3,4,12,Use protective screens; Obtain hot work permit and station fire extinguisher,2,3,6
Welding Works,Confined welding,Fume inhalation due to limited airflow,3,5,15,Provide ventilation system,1,5,5
Material Handling,Manual lifting,Injury from lifting load beyond capacity,4,3,12,Follow safe lifting limits,2,2,4
Material Handling,Manual transport,Foot injury from dropped materials,3,3,9,Wear safety footwear,2,2,4
Material Handling,Forklift use,Collision due to speeding in work area,4,5,20,Enforce speed limits,2,5,10
Material Handling,Forklift operation,Load falling due to improper stacking,3,4,12,Stack loads securely; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Collapse of stacked materials,3,4,12,Maintain proper stacking height,2,3,6
Demolition,Wall demolition,Falling debris due to uncontrolled breaking sequence,4,5,20,Follow systematic demolition plan; Use safety harness and lanyard at all times,2,5,10
Demolition,Concrete demolition,Injury from flying fragments,4,4,16,Use protective barriers and PPE,2,3,6
Demolition,Structural demolition,Collapse due to removal of key supports,4,5,20,Conduct structural analysis,2,5,10
Demolition,Interior work,Dust exposure during demolition,3,3,9,Use dust suppression and masks; Provide respiratory mask and ensure ventilation,2,2,4
Demolition,Equipment operation,Noise hazard from heavy equipment,4,3,12,Provide hearing protection,2,2,4
Confined Space,Tank entry,Exposure to toxic gases during entry,3,5,15,Test atmosphere before entry; Provide respiratory mask and ensure ventilation,1,5,5
Confined Space,Sewer work,Oxygen deficiency due to poor ventilation,3,5,15,Provide continuous air supply; Provide respiratory mask and ensure ventilation,1,5,5
Confined Space,Inspection work,Delayed rescue due to restricted entry point,3,5,15,Prepare rescue plan,1,5,5
Confined Space,Maintenance,Heat stress due to confined environment,3,4,12,Provide cooling and rest breaks; Provide respiratory mask and ensure ventilation,2,3,6
Confined Space,Entry,Slip hazard due to wet surfaces,3,3,9,Use anti-slip footwear,2,2,4
Chemical Handling,Painting,Exposure to paint fumes causing irritation,3,3,9,Use respirators,2,2,4
Chemical Handling,Solvent use,Fire hazard from improper storage of flammable liquids,3,5,15,Store in approved containers; Obtain hot work permit and station fire extinguisher,1,5,5
Chemical Handling,Mixing,Release of toxic fumes due to incorrect chemical mixing,3,5,15,Follow SDS instructions; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Storage,Chemical spill causing exposure risk,3,4,12,Use spill containment measures; Wear chemical resistant gloves and protective apron,2,3,6
Chemical Handling,Application,Skin burns due to chemical contact,3,3,9,Wear protective clothing,2,2,4
Piling Works,Bored piling,Collapse due to weak soil conditions,3,5,15,Install casing and monitor,2,5,10
Piling Works,Pile driving,Noise exposure from piling activity,4,3,12,Use hearing protection,2,2,4
Piling Works,Setup,Equipment instability due to uneven base,3,5,15,Stabilize equipment,2,5,10
Piling Works,Drilling,Damage to underground utilities,3,5,15,Conduct pre-drill survey,1,5,5
Piling Works,Operation,Worker struck by moving rig,4,5,20,Define exclusion zones,2,5,10
Site Preparation,Land clearing,Worker struck by moving plant equipment,4,5,20,Use trained operator and spotter,2,5,10
Site Preparation,Grading,Vehicle slipping on loose surface,3,4,12,Compact surface,2,3,6
Site Preparation,Cleanup,Cuts from handling sharp debris,3,3,9,Wear gloves,2,2,4
Site Preparation,Access setup,Trip hazard from uneven temporary walkways,3,2,6,Level walkways,2,2,4
Site Preparation,General work,Dust inhalation from dry conditions,3,3,9,Use water suppression; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold access,Fall while climbing scaffold due to missing access ladder,4,5,20,Provide secured access ladder and inspect regularly; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof installation,Worker falls due to unsecured roofing materials shifting underfoot,4,5,20,Secure materials and use fall protection; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge protection,Fall from height due to removal of guardrails during work,4,5,20,Reinstall guardrails immediately after removal; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance work,Fall due to distraction while working near open edge,3,5,15,Provide supervision and barriers; Use safety harness and lanyard at all times,2,5,10
Work at Height,Elevated platform,Worker loses balance due to sudden platform movement,3,5,15,Stabilize platform and train operators; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock due to contact with partially exposed conductor,3,5,15,Ensure full insulation before energizing; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel maintenance,Arc flash caused by short circuit during maintenance,3,5,15,Use arc-rated PPE and proper procedures,1,5,5
Electrical Works,Temporary wiring,Overheating cables due to excessive current load,3,4,12,Install circuit breakers and monitor load,2,3,6
Electrical Works,Inspection,Shock hazard due to failure to verify isolation,3,5,15,Test circuits before work; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Installation,Contact with live wires due to improper labeling,3,5,15,Ensure proper labeling of circuits; Apply lockout tagout and use insulated gloves,1,5,5
Excavation,Trenching,Collapse due to lack of trench support in sandy soil,4,5,20,Install trench boxes or shoring,2,5,10
Excavation,Deep excavation,Ground collapse caused by adjacent traffic vibration,4,5,20,Monitor vibration and reinforce walls; Wear hearing protection and ear defenders,2,5,10
Excavation,Utility excavation,Exposure to gas line due to inaccurate mapping,3,5,15,Conduct utility detection survey; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Backfilling,Worker struck by compactor during operation,4,5,20,Maintain safe distance and use signals,2,5,10
Excavation,Excavation work,Fall into excavation pit due to lack of barricade,3,4,12,Install guardrails and warning signs; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Crane lifting,Load dropped due to failure of lifting hook latch,4,5,20,Use safety latch hooks and inspect,2,5,10
Lifting Operations,Crane operation,Collision with overhead structure due to poor planning,3,5,15,Conduct lifting plan and clearance checks,2,5,10
Lifting Operations,Rigging,Improper sling attachment causing load instability,3,4,12,Train riggers and inspect setup,2,3,6
Lifting Operations,Material lifting,Load swing due to sudden crane movement,3,5,15,Control crane speed and use taglines,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to soft ground conditions,3,5,15,Stabilize ground and deploy outriggers,2,5,10
Concrete Works,Concrete pouring,Formwork collapse due to excessive vibration during pour,4,5,20,Control vibration and inspect formwork; Wear hearing protection and ear defenders,2,5,10
Concrete Works,Reinforcement work,Cuts from handling sharp rebar ends,3,3,9,Use gloves and install caps,2,2,4
Concrete Works,Formwork erection,Fall from height while positioning formwork panels,4,5,20,Use proper access and harness,2,5,10
Concrete Works,Finishing,Slip hazard from slurry accumulation on floor,3,2,6,Clean surfaces regularly,2,2,4
Concrete Works,Material handling,Injury from manual handling of heavy concrete bags,4,3,12,Use lifting aids,2,2,4
Welding Works,Arc welding,Eye damage due to exposure to welding arc,3,3,9,Wear appropriate welding helmet,1,2,2
Welding Works,Hot work,Fire caused by sparks landing on flammable waste,3,5,15,Clear waste and assign fire watch,1,5,5
Welding Works,Gas cutting,Explosion due to improper gas cylinder storage,3,5,15,Store cylinders upright and secured; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Burn injury from hot metal fragments,3,4,12,Use protective clothing,2,3,6
Welding Works,Confined welding,Fume inhalation due to lack of ventilation,3,5,15,Install exhaust ventilation,1,5,5
Material Handling,Manual lifting,Back injury from improper lifting technique,4,3,12,Provide ergonomic training,2,2,4
Material Handling,Manual handling,Hand injury from sharp edges of materials,3,3,9,Wear cut-resistant gloves,2,2,4
Material Handling,Forklift operation,Collision due to poor visibility in congested area,4,5,20,Use designated pathways and signals,2,5,10
Material Handling,Forklift use,Load falling due to unstable stacking,3,4,12,Secure loads properly; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Stack collapse due to excessive height,3,4,12,Limit stacking height; Use safety harness and lanyard at all times,2,3,6
Demolition,Wall removal,Unexpected collapse due to hidden structural weakness,4,5,20,Conduct structural assessment,2,5,10
Demolition,Concrete breaking,Flying debris causing injury to nearby workers,4,4,16,Install barriers and PPE,2,3,6
Demolition,Structural demolition,Collapse due to removal of support elements,4,5,20,Follow engineered demolition sequence,2,5,10
Demolition,Interior work,Dust inhalation from demolition debris,3,3,9,Use dust suppression and masks; Provide respiratory mask and ensure ventilation,2,2,4
Demolition,Equipment operation,Hearing damage from prolonged noise exposure,4,3,12,Provide hearing protection,2,2,4
Confined Space,Tank entry,Toxic gas exposure due to inadequate ventilation,3,5,15,Test atmosphere and ventilate; Provide respiratory mask and ensure ventilation,1,5,5
Confined Space,Sewer work,Oxygen deficiency leading to suffocation risk,3,5,15,Continuous gas monitoring,1,5,5
Confined Space,Maintenance work,Restricted entry delaying emergency evacuation,3,5,15,Prepare rescue plan,1,5,5
Confined Space,Inspection,Heat stress due to confined conditions,3,4,12,Provide rest breaks and ventilation,2,3,6
Confined Space,Entry,Slip hazard from wet internal surfaces,3,3,9,Use anti-slip footwear,2,2,4
Chemical Handling,Painting,Inhalation of paint fumes causing respiratory irritation,3,3,9,Use respirators,2,2,4
Chemical Handling,Solvent use,Fire due to improper handling of flammable liquids,3,5,15,Store and handle properly; Obtain hot work permit and station fire extinguisher,1,5,5
Chemical Handling,Mixing,Release of toxic gases due to incompatible chemicals,3,5,15,Follow SDS guidelines; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Storage,Leakage from damaged containers,3,4,12,Inspect containers regularly,2,3,6
Chemical Handling,Application,Skin burns due to chemical splashes,3,3,9,Wear protective clothing,2,2,4
Piling Works,Bored piling,Collapse of borehole due to unstable soil layers,3,5,15,Use casing and monitor conditions,2,5,10
Piling Works,Pile driving,Noise hazard from continuous piling operations,4,3,12,Provide hearing protection,2,2,4
Piling Works,Setup,Instability of rig due to uneven setup surface,3,5,15,Level and secure rig,2,5,10
Piling Works,Drilling,Damage to underground utilities during drilling,3,5,15,Conduct survey before drilling,1,5,5
Piling Works,Operation,Worker struck by moving equipment,4,5,20,Establish safety perimeter,2,5,10
Site Preparation,Land clearing,Worker struck by moving machinery due to blind spots,4,5,20,Use spotter and alarms,2,5,10
Site Preparation,Grading,Vehicle losing traction on loose soil surface,3,4,12,Compact and stabilize ground,2,3,6
Site Preparation,Cleanup,Injury from handling sharp construction debris,3,3,9,Use gloves and PPE,2,2,4
Site Preparation,Temporary access,Trip hazard from uneven access routes,3,2,6,Maintain level pathways,2,2,4
Site Preparation,General work,Dust exposure causing respiratory discomfort,3,3,9,Apply water suppression; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold work,Fall while stepping onto incomplete scaffold platform during early erection phase,4,5,20,Restrict access until fully erected and inspected; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Loss of footing due to loose debris accumulating near roof edge,3,5,15,Clear debris and install edge protection,2,5,10
Work at Height,Facade work,Worker falls while reaching beyond safe working distance on suspended platform,3,5,15,Use fall arrest system and reposition platform,2,5,10
Work at Height,Maintenance,Fall during inspection due to inadequate lighting conditions,3,5,15,Provide sufficient temporary lighting; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Fall caused by using ladder on sloped and unstable surface,3,4,12,Stabilize ladder and secure footing; Use safety harness and lanyard at all times,2,3,6
Electrical Works,Cable installation,Electric shock when handling partially energized cable during installation,3,5,15,Verify isolation before handling,1,5,5
Electrical Works,Panel work,Arc flash triggered by accidental short circuit during tightening of terminals,3,5,15,Use insulated tools and arc-rated PPE,1,5,5
Electrical Works,Maintenance,Shock due to failure to detect backfeed from secondary source,3,5,15,Test all sources and isolate completely; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Temporary setup,Overheating of cables due to poor ventilation in confined routing space,3,4,12,Improve cable routing and ventilation,2,3,6
Electrical Works,Inspection,Contact with live components due to missing protective covers,3,5,15,Install covers and enforce lockout procedures,1,5,5
Excavation,Trenching,Collapse caused by heavy rain weakening trench sidewalls overnight,4,5,20,Inspect daily and install support systems,2,5,10
Excavation,Deep excavation,Soil failure due to prolonged exposure without reinforcement,4,5,20,Provide staged support installation,2,5,10
Excavation,Utility excavation,Damage to underground gas pipe leading to hazardous leak,3,5,15,Use detection equipment and permits; Provide respiratory mask and ensure ventilation,1,5,5
